w	SampleID	Label	Type	N_TADs
13	PCa13266	CPCG0268	Malignant	2723
13	PCa13848	CPCG0366	Malignant	3080
13	PCa14121	CPCG0255	Malignant	2820
13	PCa19121	CPCG0258	Malignant	2903
13	PCa3023	CPCG0324	Malignant	3011
13	PCa33173	CPCG0246	Malignant	2918
13	PCa40507	CPCG0342	Malignant	2793
13	PCa51852	CPCG0336	Malignant	2776
13	PCa53687	CPCG0339	Malignant	2719
13	PCa56413	CPCG0331	Malignant	2953
13	PCa57294	CPCG0365	Malignant	2725
13	PCa58215	CPCG0345	Malignant	2984
14	Benign-Prostate-1595983	BP1595983	Benign	2868
14	Benign-Prostate-1648133	BP1648133	Benign	2776
14	Benign-Prostate-1664855	BP1664855	Benign	2753
14	Benign-Prostate-3320942	BP3320942	Benign	2819
14	Benign-Prostate-3330581	BP3330581	Benign	2837
14	PCa13266	CPCG0268	Malignant	2634
14	PCa13848	CPCG0366	Malignant	2979
14	PCa14121	CPCG0255	Malignant	2678
14	PCa19121	CPCG0258	Malignant	2774
14	PCa3023	CPCG0324	Malignant	2855
14	PCa33173	CPCG0246	Malignant	2797
14	PCa40507	CPCG0342	Malignant	2657
14	PCa51852	CPCG0336	Malignant	2633
14	PCa53687	CPCG0339	Malignant	2622
14	PCa56413	CPCG0331	Malignant	2854
14	PCa57294	CPCG0365	Malignant	2613
14	PCa58215	CPCG0345	Malignant	2845
15	Benign-Prostate-1595983	BP1595983	Benign	2768
15	Benign-Prostate-1648133	BP1648133	Benign	2650
15	Benign-Prostate-1664855	BP1664855	Benign	2676
15	Benign-Prostate-3320942	BP3320942	Benign	2722
15	Benign-Prostate-3330581	BP3330581	Benign	2751
15	PCa13266	CPCG0268	Malignant	2559
15	PCa13848	CPCG0366	Malignant	2860
15	PCa14121	CPCG0255	Malignant	2577
15	PCa19121	CPCG0258	Malignant	2631
15	PCa3023	CPCG0324	Malignant	2781
15	PCa33173	CPCG0246	Malignant	2706
15	PCa40507	CPCG0342	Malignant	2574
15	PCa51852	CPCG0336	Malignant	2552
15	PCa53687	CPCG0339	Malignant	2508
15	PCa56413	CPCG0331	Malignant	2731
15	PCa57294	CPCG0365	Malignant	2509
15	PCa58215	CPCG0345	Malignant	2742
16	Benign-Prostate-1595983	BP1595983	Benign	2676
16	Benign-Prostate-1648133	BP1648133	Benign	2554
16	Benign-Prostate-1664855	BP1664855	Benign	2607
16	Benign-Prostate-3320942	BP3320942	Benign	2623
16	Benign-Prostate-3330581	BP3330581	Benign	2653
16	PCa13266	CPCG0268	Malignant	2441
16	PCa13848	CPCG0366	Malignant	2748
16	PCa14121	CPCG0255	Malignant	2469
16	PCa19121	CPCG0258	Malignant	2560
16	PCa3023	CPCG0324	Malignant	2728
16	PCa33173	CPCG0246	Malignant	2612
16	PCa40507	CPCG0342	Malignant	2492
16	PCa51852	CPCG0336	Malignant	2441
16	PCa53687	CPCG0339	Malignant	2420
16	PCa56413	CPCG0331	Malignant	2644
16	PCa57294	CPCG0365	Malignant	2416
16	PCa58215	CPCG0345	Malignant	2653
17	Benign-Prostate-1595983	BP1595983	Benign	2619
17	Benign-Prostate-1648133	BP1648133	Benign	2469
17	Benign-Prostate-1664855	BP1664855	Benign	2501
17	Benign-Prostate-3320942	BP3320942	Benign	2551
17	Benign-Prostate-3330581	BP3330581	Benign	2564
17	PCa13266	CPCG0268	Malignant	2366
17	PCa13848	CPCG0366	Malignant	2688
17	PCa14121	CPCG0255	Malignant	2447
17	PCa19121	CPCG0258	Malignant	2457
17	PCa3023	CPCG0324	Malignant	2603
17	PCa33173	CPCG0246	Malignant	2526
17	PCa40507	CPCG0342	Malignant	2412
17	PCa51852	CPCG0336	Malignant	2359
17	PCa53687	CPCG0339	Malignant	2323
17	PCa56413	CPCG0331	Malignant	2571
17	PCa57294	CPCG0365	Malignant	2330
17	PCa58215	CPCG0345	Malignant	2575
18	Benign-Prostate-1595983	BP1595983	Benign	2560
18	Benign-Prostate-1648133	BP1648133	Benign	2415
18	Benign-Prostate-1664855	BP1664855	Benign	2453
18	Benign-Prostate-3320942	BP3320942	Benign	2487
18	Benign-Prostate-3330581	BP3330581	Benign	2497
18	PCa13266	CPCG0268	Malignant	2302
18	PCa13848	CPCG0366	Malignant	2598
18	PCa14121	CPCG0255	Malignant	2360
18	PCa19121	CPCG0258	Malignant	2381
18	PCa3023	CPCG0324	Malignant	2534
18	PCa33173	CPCG0246	Malignant	2453
18	PCa40507	CPCG0342	Malignant	2325
18	PCa51852	CPCG0336	Malignant	2315
18	PCa53687	CPCG0339	Malignant	2274
18	PCa56413	CPCG0331	Malignant	2479
18	PCa57294	CPCG0365	Malignant	2277
18	PCa58215	CPCG0345	Malignant	2483
19	Benign-Prostate-1595983	BP1595983	Benign	2478
19	Benign-Prostate-1648133	BP1648133	Benign	2343
19	Benign-Prostate-1664855	BP1664855	Benign	2382
19	Benign-Prostate-3320942	BP3320942	Benign	2424
19	Benign-Prostate-3330581	BP3330581	Benign	2483
19	PCa13266	CPCG0268	Malignant	2262
19	PCa13848	CPCG0366	Malignant	2523
19	PCa14121	CPCG0255	Malignant	2335
19	PCa19121	CPCG0258	Malignant	2298
19	PCa3023	CPCG0324	Malignant	2491
19	PCa33173	CPCG0246	Malignant	2397
19	PCa40507	CPCG0342	Malignant	2263
19	PCa51852	CPCG0336	Malignant	2251
19	PCa53687	CPCG0339	Malignant	2234
19	PCa56413	CPCG0331	Malignant	2393
19	PCa57294	CPCG0365	Malignant	2194
19	PCa58215	CPCG0345	Malignant	2423
20	Benign-Prostate-1595983	BP1595983	Benign	2425
20	Benign-Prostate-1648133	BP1648133	Benign	2277
20	Benign-Prostate-1664855	BP1664855	Benign	2350
20	Benign-Prostate-3320942	BP3320942	Benign	2358
20	Benign-Prostate-3330581	BP3330581	Benign	2413
20	PCa13266	CPCG0268	Malignant	2197
20	PCa13848	CPCG0366	Malignant	2480
20	PCa14121	CPCG0255	Malignant	2242
20	PCa19121	CPCG0258	Malignant	2246
20	PCa3023	CPCG0324	Malignant	2410
20	PCa33173	CPCG0246	Malignant	2328
20	PCa40507	CPCG0342	Malignant	2200
20	PCa51852	CPCG0336	Malignant	2185
20	PCa53687	CPCG0339	Malignant	2158
20	PCa56413	CPCG0331	Malignant	2364
20	PCa57294	CPCG0365	Malignant	2152
20	PCa58215	CPCG0345	Malignant	2407
